date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year
2021-05-01,Andaman & Nicobar Island,2-Wheelers,0,4,2022,Q1,5,2021
2021-05-01,Andaman & Nicobar Island,4-Wheelers,0,1,2022,Q1,5,2021
2021-05-01,Arunachal Pradesh,2-Wheelers,0,552,2022,Q1,5,2021
2021-05-01,Arunachal Pradesh,4-Wheelers,0,302,2022,Q1,5,2021
2021-05-01,Assam,2-Wheelers,0,14723,2022,Q1,5,2021
2021-05-01,Assam,4-Wheelers,0,3295,2022,Q1,5,2021
2021-05-01,Bihar,4-Wheelers,0,2249,2022,Q1,5,2021
2021-05-01,Chandigarh,2-Wheelers,0,411,2022,Q1,5,2021
2021-05-01,Chhattisgarh,4-Wheelers,0,1387,2022,Q1,5,2021
2021-05-01,DNH and DD,2-Wheelers,0,452,2022,Q1,5,2021
2021-05-01,DNH and DD,4-Wheelers,0,202,2022,Q1,5,2021
2021-05-01,Delhi,2-Wheelers,0,22,2022,Q1,5,2021
2021-05-01,Delhi,4-Wheelers,0,21,2022,Q1,5,2021
2021-05-01,Jammu and Kashmir,4-Wheelers,0,2372,2022,Q1,5,2021
2021-05-01,Ladakh,2-Wheelers,0,11,2022,Q1,5,2021
2021-05-01,Ladakh,4-Wheelers,0,70,2022,Q1,5,2021
2021-05-01,Madhya Pradesh,4-Wheelers,0,195,2022,Q1,5,2021
2021-05-01,Manipur,2-Wheelers,0,288,2022,Q1,5,2021
2021-05-01,Manipur,4-Wheelers,0,9,2022,Q1,5,2021
2021-05-01,Meghalaya,2-Wheelers,0,332,2022,Q1,5,2021
2021-05-01,Mizoram,2-Wheelers,0,15,2022,Q1,5,2021
2021-05-01,Mizoram,4-Wheelers,0,4,2022,Q1,5,2021
2021-05-01,Nagaland,2-Wheelers,0,125,2022,Q1,5,2021
2021-05-01,Nagaland,4-Wheelers,0,126,2022,Q1,5,2021
2021-05-01,Odisha,4-Wheelers,0,722,2022,Q1,5,2021
2021-05-01,Punjab,4-Wheelers,0,5202,2022,Q1,5,2021
2021-05-01,Tripura,2-Wheelers,0,2063,2022,Q1,5,2021
2021-05-01,Tripura,4-Wheelers,0,192,2022,Q1,5,2021
2021-05-01,Uttarakhand,4-Wheelers,0,1145,2022,Q1,5,2021
2021-05-01,Chandigarh,4-Wheelers,1,413,2022,Q1,5,2021
2021-05-01,Haryana,4-Wheelers,1,4373,2022,Q1,5,2021
2021-05-01,Himachal Pradesh,4-Wheelers,1,1503,2022,Q1,5,2021
2021-05-01,Jharkhand,4-Wheelers,1,2290,2022,Q1,5,2021
2021-05-01,Madhya Pradesh,2-Wheelers,1,6302,2022,Q1,5,2021
2021-05-01,Meghalaya,4-Wheelers,1,88,2022,Q1,5,2021
2021-05-01,Andhra Pradesh,4-Wheelers,16,5831,2022,Q1,5,2021
2021-05-01,Goa,4-Wheelers,4,393,2022,Q1,5,2021
2021-05-01,Gujarat,4-Wheelers,29,15959,2022,Q1,5,2021
2021-05-01,Karnataka,4-Wheelers,2,646,2022,Q1,5,2021
2021-05-01,Kerala,4-Wheelers,48,5164,2022,Q1,5,2021
2021-05-01,Maharashtra,4-Wheelers,121,13528,2022,Q1,5,2021
2021-05-01,Puducherry,4-Wheelers,2,119,2022,Q1,5,2021
2021-05-01,Rajasthan,4-Wheelers,7,2756,2022,Q1,5,2021
2021-05-01,Tamil Nadu,4-Wheelers,14,3413,2022,Q1,5,2021
2021-05-01,Uttar Pradesh,4-Wheelers,3,14016,2022,Q1,5,2021
